Tipo esercizio pa;Ubicazione;Tipo via;Via;Civico;Codice via;ZD;Prevalente;Superficie altri usi;Superficie lavorativa
Parrucchiere per signora;"VIA ROMILLI ARCIVESCOVO N. 29 ; (z.d. 4)";VIA;ROMILLI ARCIVESCOVO;29;4154;4;;;39
Parrucchiere per signora;"VIA RONCAGLIA N. 35 ; (z.d. 6)";VIA;RONCAGLIA;35;6122;6;;4;30
Parrucchiere per signora;"VIA RONCHI N. 35 ; (z.d. 3)";VIA;RONCHI;35;2655;3;;;21
Parrucchiere per signora;"VIA RONCHI N. 35 ; (z.d. 3)";VIA;RONCHI;35;2655;3;;;26
Parrucchiere per signora;"VIA RONCHI num.037; (z.d. 3)";VIA;CARNIA;31;2395;3;;19;29
Parrucchiere per signora;"VIA ROSMINI ANTONIO N. 7 ; (z.d. 1)";VIA;ROSMINI ANTONIO;7;7132;1;;;35
Parrucchiere per signora;"VIA ROSMINI ANTONIO num.001a; (z.d. 1)";VIA;ROSMINI ANTONIO;;7132;1;;;20
Parrucchiere per signora;"VIA ROSSI PELLEGRINO N. 22 ; (z.d. 9)";VIA;ROSSI PELLEGRINO;22;1510;9;;;
Parrucchiere per signora;"VIA ROSSI PELLEGRINO N. 59 ; (z.d. 9)";VIA;ROSSI PELLEGRINO;59;1510;9;;;
Parrucchiere per signora;"VIA ROSSI PELLEGRINO N. 91 ingr.v.armellini; (z.d. 9)";VIA;ROSSI PELLEGRINO;91;1510;9;;;
Parrucchiere per signora;"VIA ROVERETO N. 12 ; (z.d. 2)";VIA;ROVERETO;12;2300;2;;;31
Parrucchiere per signora;"VIA RUBENS PIETRO N. 22 ; (z.d. 7)";VIA;RUBENS PIETRO;22;6597;7;;4;16
Parrucchiere per signora;"VIA RUCELLAI BERNARDO N. 12 ; (z.d. 2)";VIA;RUCELLAI BERNARDO;12;2345;2;;;24
Parrucchiere per signora;"VIA RUCELLAI BERNARDO N. 50 ; (z.d. 2)";VIA;RUCELLAI BERNARDO;50;2345;2;;;
Parrucchiere per signora;"VIA RUGGERO DI LAURIA N. 20 ; (z.d. 8)";VIA;RUGGERO DI LAURIA;20;7163;8;;;36
Parrucchiere per signora;"VIA RUSSO VINCENZO N. 8 ; (z.d. 2)";VIA;RUSSO VINCENZO;8;2328;2;;;38
Parrucchiere per signora;"VIA SACCO LUIGI N. 3 ; (z.d. 7)";VIA;SACCO LUIGI;3;6275;7;;;88
Parrucchiere per signora;"VIA SAINT BON SIMONE N. 2 ; (z.d. 7)";VIA;SAINT BON SIMONE;2;6670;7;;;16
Parrucchiere per signora;"VIA SALVEMINI GAETANO N. 3 ; (z.d. 9)";VIA;SALVEMINI GAETANO;3;1678;9;;;
Parrucchiere per signora;"VIA SALVINI TOMMASO N. 3 ; (z.d. 1)";VIA;SALVINI TOMMASO;3;2175;1;;;47
Parrucchiere per signora;"VIA SAMBUCO piano rialzato num.0053; (z.d. 1)";VIA;SANTA TECLA;5;321;1;;;
Parrucchiere per signora;"VIA SAMMARTINI GIOVANNI BATTISTA N. 41 ; (z.d. 2)";VIA;SAMMARTINI GIOVANNI BATTISTA;41;1202;2;;;19
Parrucchiere per signora;"VIA SAN BERNARDO N. 32 ; (z.d. 5)";VIA;SAN BERNARDO;32;4351;5;;;
Parrucchiere per signora;"VIA SAN FAUSTINO N. 8 ; (z.d. 3)";VIA;SAN FAUSTINO;8;2681;3;;;53
Parrucchiere per signora;"VIA SANFELICE LUISA N. 7 ; (z.d. 4)";VIA;SANFELICE LUISA;7;3224;4;;;25
Parrucchiere per signora;"VIA SAN GREGORIO N. 53 ; (z.d. 2)";VIA;SAN GREGORIO;53;2123;2;;;
Parrucchiere per signora;"VIA SAN MAMETE N. 15 ; (z.d. 2)";VIA;SAN MAMETE;15;2413;2;;;34
Parrucchiere per signora;"VIA SAN MARCO N. 28 ; (z.d. 1)";VIA;SAN MARCO;28;1036;1;;;
Parrucchiere per signora;"VIA SAN MARTINO N. 15 ; (z.d. 1)";VIA;SAN MARTINO;15;4016;1;;;
Parrucchiere per signora;"VIA SAN MAURILIO N. 1 ; (z.d. 1)";VIA;SAN MAURILIO;1;563;1;;;28
Parrucchiere per signora;"VIA SAN PAOLINO N. 18 ; (z.d. 6)";VIA;SAN PAOLINO;18;5425;6;;;
Parrucchiere per signora;"VIA SAN PIETRO ALL'ORTO N. 26 piano rialzato; (z.d. 1)";VIA;SAN PIETRO ALL'ORTO;26;213;1;;;87
Parrucchiere per signora;"VIA SAN SIRO N. 16 ; (z.d. 7)";VIA;SAN SIRO;16;6282;7;;15;40
Parrucchiere per signora;"VIA SANTA MONICA N. 3 ; (z.d. 9)";VIA;SANTA MONICA;3;1448;9;;;
Parrucchiere per signora;"VIA SANT' AMPELLIO N. 16 ; (z.d. 5)";VIA;SANT' AMPELLIO;16;5253;5;;10;16
Parrucchiere per signora;"VIA SANT' ANDREA N. 2 ; (z.d. 1)";VIA;SANT' ANDREA;2;222;1;;;85
Parrucchiere per signora;"VIA SANTA RADEGONDA N. 3 interno rinascente 8ø piano; (z.d. 1)";VIA;SANTA RADEGONDA;3;208;1;;;
Parrucchiere per signora;"VIA SANTA RITA DA CASCIA N. 74 ; (z.d. 6)";VIA;SANTA RITA DA CASCIA;74;5301;6;;;29
Parrucchiere per signora;"VIA SANTA SOFIA N. 24 ; (z.d. 1)";VIA;SANTA SOFIA;24;408;1;;;49
Parrucchiere per signora;"VIA SANTA TERESA num.020a; (z.d. 5)";VIA;SANTA TERESA;;5314;5;;;
Parrucchiere per signora;"VIA SAN TOMASO N. 6 ; (z.d. 1)";VIA;SAN TOMASO;6;723;1;;;
Parrucchiere per signora;"VIA SAN TOMASO N. 8 ; (z.d. 1)";VIA;SAN TOMASO;8;723;1;;;23
Parrucchiere per signora;"VIA SANT' UGUZZONE N. 21 ; (z.d. 2)";VIA;SANT' UGUZZONE;21;2448;2;;;28
Parrucchiere per signora;"VIA SANZIO RAFFAELLO N. 16 ; (z.d. 7)";VIA;SANZIO RAFFAELLO;16;6283;7;;;32
Parrucchiere per signora;"VIA SANZIO RAFFAELLO N. 26 ; (z.d. 7)";VIA;SANZIO RAFFAELLO;26;6283;7;;;
Parrucchiere per signora;"VIA SAPONARO MICHELE N. 36 ; (z.d. 5)";VIA;SAPONARO MICHELE;36;5432;5;;;15
Parrucchiere per signora;"VIA SAPRI N. 89 ; (z.d. 8)";VIA;SAPRI;89;7441;8;;;73
Parrucchiere per signora;"VIA SARDEGNA N. 31 ; (z.d. 7)";VIA;SARDEGNA;31;6265;7;;;31
Parrucchiere per signora;"VIA SATTA SEBASTIANO N. 3 ; (z.d. 8)";VIA;SATTA SEBASTIANO;3;7352;8;;;
Parrucchiere per signora;"VIA SAULI SANT' ALESSANDRO N. 9 ; (z.d. 2)";VIA;SAULI SANT' ALESSANDRO;9;2273;2;;3;25
Parrucchiere per signora;"VIA SAVOLDO GIAN GIROLAMO N. 4 ; (z.d. 9)";VIA;SAVOLDO GIAN GIROLAMO;4;1691;9;;;17
Parrucchiere per signora;"VIA SAVONA N. 45 ; (z.d. 6)";VIA;SAVONA;45;5122;6;;;
Parrucchiere per signora;"VIA SAVONA N. 61 ; (z.d. 6)";VIA;SAVONA;61;5122;6;;;60
Parrucchiere per signora;"VIA SAVONA N. 80 ; (z.d. 6)";VIA;SAVONA;80;5122;6;;;
Parrucchiere per signora;"VIA SCALVINI GIOVITA N. 3 ; (z.d. 9)";VIA;SCALVINI GIOVITA;3;1265;9;;;28
Parrucchiere per signora;"VIA SCANINI ALESSANDRO N. 15 ; (z.d. 7)";VIA;SCANINI ALESSANDRO;15;6755;7;;10;30
Parrucchiere per signora;"VIA SCROSATI LUIGI N. 8 ; (z.d. 6)";VIA;SCROSATI LUIGI;8;6488;6;;;21
Parrucchiere per signora;"VIA SEBASTIANO DEL PIOMBO N. 4 ; (z.d. 8)";VIA;SEBASTIANO DEL PIOMBO;4;6397;8;;4;68
Parrucchiere per signora;"VIA SEBENICO N. 14 ; (z.d. 9)";VIA;SEBENICO;14;1131;9;;;23
Parrucchiere per signora;"VIA SEBINO N. 19 ; (z.d. 4)";VIA;SEBINO;19;4092;4;;;22
Parrucchiere per signora;"VIA SEBINO N. 8 ; (z.d. 4)";VIA;SEBINO;8;4092;4;;;
Parrucchiere per signora;"VIA SENATO N. 2 ; (z.d. 1)";VIA;SENATO;2;236;1;;;131
Parrucchiere per signora;"VIA SERAO MATILDE N. 7 ; (z.d. 7)";VIA;SERAO MATILDE;7;6241;7;;;32
Parrucchiere per signora;"VIA SERCOGNANI GIUSEPPE N. 4 ; (z.d. 8)";VIA;SERCOGNANI GIUSEPPE;4;7281;8;;;42
Parrucchiere per signora;"VIA SERLIO SEBASTIANO N. 11 ; (z.d. 4)";VIA;SERLIO SEBASTIANO;11;4176;4;;;34
Parrucchiere per signora;"VIA SETTALA LODOVICO N. 20 ; (z.d. 3)";VIA;SETTALA LODOVICO;20;2111;3;;;26
Parrucchiere per signora;"VIA SETTALA LODOVICO N. 9 ; (z.d. 3)";VIA;SETTALA LODOVICO;9;2111;3;;5;31
Parrucchiere per signora;"VIA SETTEMBRINI LUIGI N. 29 ; (z.d. 2)";VIA;SETTEMBRINI LUIGI;29;2127;2;;2;17
Parrucchiere per signora;"VIA SETTEMBRINI LUIGI N. 29 ; (z.d. 2)";VIA;SETTEMBRINI LUIGI;29;2127;2;;;32
Parrucchiere per signora;"VIA SETTEMBRINI LUIGI N. 2 ; (z.d. 3)";VIA;SETTEMBRINI LUIGI;2;2127;3;;10;
Parrucchiere per signora;"VIA SFORZA ASCANIO N. 81 ; (z.d. 5)";VIA;SFORZA ASCANIO;81;5201;5;;;
Parrucchiere per signora;"VIA S. GIOV. SUL MURO N. 15 ; (z.d. 1)";VIA;S. GIOV. SUL MURO;15;609;1;;;
Parrucchiere per signora;"VIA SIGIERI GOFFREDO N. 6 ; (z.d. 4)";VIA;SIGIERI GOFFREDO;6;4080;4;;;
Parrucchiere per signora;"VIA SILVA GUGLIELMO N. 29 ; (z.d. 8)";VIA;SILVA GUGLIELMO;29;6400;8;;;20
Parrucchiere per signora;"VIA SILVA GUGLIELMO N. 35 ; (z.d. 8)";VIA;SILVA GUGLIELMO;35;6400;8;;;24
Parrucchiere per signora;"VIA SILVA GUGLIELMO N. 45 ; (z.d. 8)";VIA;SILVA GUGLIELMO;45;6400;8;;;17
Parrucchiere per signora;"VIA SIMONETTA CICCO N. 17 ; (z.d. 1)";VIA;SIMONETTA CICCO;17;5168;1;;;
Parrucchiere per signora;"VIA SIRTORI GIUSEPPE N. 13 ; (z.d. 3)";VIA;SIRTORI GIUSEPPE;13;2180;3;;;
Parrucchiere per signora;"VIA SISMONDI GIANCARLO N. 36 ; (z.d. 4)";VIA;SISMONDI GIANCARLO;36;3256;4;;;43
Parrucchiere per signora;"VIA SISMONDI GIANCARLO N. 48 ; (z.d. 4)";VIA;SISMONDI GIANCARLO;48;3256;4;;;32
Parrucchiere per signora;"VIA SLATAPER SCIPIO N. 19 ; (z.d. 2)";VIA;SLATAPER SCIPIO;19;1348;2;;;41
Parrucchiere per signora;"VIA SODERINI LUIGI N. 25 ; (z.d. 6)";VIA;SODERINI LUIGI;25;6675;6;;3;25
Parrucchiere per signora;"VIA SODERINI LUIGI N. 9 ; (z.d. 6)";VIA;SODERINI LUIGI;9;6675;6;;;31
Parrucchiere per signora;"VIA SOLARI ANDREA N. 1 ; (z.d. 6)";VIA;SOLARI ANDREA;1;5111;6;;;50
Parrucchiere per signora;"VIA SOLARI ANDREA N. 23 ; (z.d. 6)";VIA;SOLARI ANDREA;23;5111;6;;;24
Parrucchiere per signora;"VIA SOLARI ANDREA N. 3 ; (z.d. 6)";VIA;SOLARI ANDREA;3;5111;6;;;30
Parrucchiere per signora;"VIA SOLARI ANDREA N. 40 ; (z.d. 6)";VIA;SOLARI ANDREA;40;5111;6;;;
Parrucchiere per signora;"VIA SOLARI ANDREA N. 48 ; (z.d. 6)";VIA;SOLARI ANDREA;48;5111;6;;;30
Parrucchiere per signora;"VIA SOLFERINO N. 25 ; (z.d. 1)";VIA;SOLFERINO;25;1028;1;;;50
Parrucchiere per signora;"VIA SOTTOCORNO PASQUALE N. 2 ; (z.d. 4)";VIA;SOTTOCORNO PASQUALE;2;3152;4;;;30
Parrucchiere per signora;"VIA SOTTOCORNO PASQUALE N. 3 ; (z.d. 4)";VIA;SOTTOCORNO PASQUALE;3;3152;4;;7;24
Parrucchiere per signora;"VIA SPARTACO N. 38 ; (z.d. 4)";VIA;SPARTACO;38;3186;4;;;43
Parrucchiere per signora;"VIA SPONTINI GASPARE N. 10 ; (z.d. 3)";VIA;SPONTINI GASPARE;10;2141;3;;;68
Parrucchiere per signora;"VIA STAMPA N. 1 ; (z.d. 1)";VIA;STAMPA;1;538;1;;4;17
Parrucchiere per signora;"VIA STAZIO CECILIO N. 11 ; (z.d. 2)";VIA;STAZIO CECILIO;11;2280;2;;2;35
Parrucchiere per signora;"VIA STEPHENSON GIORGIO N. 4 ; (z.d. 8)";VIA;STEPHENSON GIORGIO;4;7456;8;;;38
Parrucchiere per signora;"VIA STOPPANI ANTONIO N. 12 ; (z.d. 3)";VIA;STOPPANI ANTONIO;12;2163;3;;;52
Parrucchiere per signora;"VIA STOPPANI ANTONIO N. 15 ; (z.d. 3)";VIA;STOPPANI ANTONIO;15;2163;3;;3;21
Parrucchiere per signora;"VIA STRADELLA ALESSANDRO N. 1 ang.via eustachi; (z.d. 3)";VIA;STRADELLA ALESSANDRO;1;2170;3;;;
Parrucchiere per signora;"VIA STRESA N. 16 ; (z.d. 2)";VIA;STRESA;16;1396;2;;;
Parrucchiere per signora;"VIA SULMONA N. 23 ; (z.d. 4)";VIA;SULMONA;23;4180;4;;;24
Parrucchiere per signora;"VIA TADINO ALESSANDRO N. 18 ; (z.d. 3)";VIA;TADINO ALESSANDRO;18;2109;3;;;
Parrucchiere per signora;"VIA TAGIURA N. 10 ; (z.d. 6)";VIA;TAGIURA;10;6125;6;;;38
Parrucchiere per signora;"VIA TAGLIAMENTO N. 5 ; (z.d. 4)";VIA;TAGLIAMENTO;5;4147;4;;18;14
Parrucchiere per signora;"VIA TARRA GIULIO N. 6 ; (z.d. 2)";VIA;TARRA GIULIO;6;1198;2;;;27
Parrucchiere per signora;"VIA TARTINI GIUSEPPE N. 37 ingresso da via candiani; (z.d. 9)";VIA;TARTINI GIUSEPPE;37;1501;9;;;
Parrucchiere per signora;"VIA TAVAZZANO N. 10 ; (z.d. 8)";VIA;TAVAZZANO;10;7335;8;;;
Parrucchiere per signora;"VIA TAVAZZANO N. 14 ; (z.d. 8)";VIA;TAVAZZANO;14;7335;8;;;42
Parrucchiere per signora;"VIA TEANO N. 28 ; (z.d. 9)";VIA;TEANO;28;1632;9;;3;72
Parrucchiere per signora;"VIA TEANO N. 2 ; (z.d. 9)";VIA;TEANO;2;1632;9;;2;48
Parrucchiere per signora;"VIA TEODOSIO N. 20 ; (z.d. 3)";VIA;TEODOSIO;20;2550;3;;3;30
Parrucchiere per signora;"VIA TEODOSIO N. 33 ; (z.d. 3)";VIA;TEODOSIO;33;2550;3;ACCONCIATORE;;
Parrucchiere per signora;"VIA TEODOSIO N. 56 ; (z.d. 3)";VIA;TEODOSIO;56;2550;3;;;
Parrucchiere per signora;"VIA TERAMO N. 31 ; (z.d. 6)";VIA;TERAMO;31;5365;6;;;44
Parrucchiere per signora;"VIA TERTULLIANO N. 35 ; (z.d. 4)";VIA;TERTULLIANO;35;4094;4;;;35
Parrucchiere per signora;"VIA TEULIE' PIETRO N. 5 ; (z.d. 5)";VIA;TEULIE' PIETRO;5;4040;5;;;
Parrucchiere per signora;"VIA THAON DI REVEL GENOVA N. 10 ; (z.d. 9)";VIA;THAON DI REVEL GENOVA;10;1172;9;;;
Parrucchiere per signora;"VIA TIEPOLO GIAN BATTISTA N. 1 ; (z.d. 3)";VIA;TIEPOLO GIAN BATTISTA;1;3126;3;;4;19
Parrucchiere per signora;"VIA TIRABOSCHI GEROLAMO N. 6 ; (z.d. 4)";VIA;TIRABOSCHI GEROLAMO;6;4072;4;;2;
Parrucchiere per signora;"VIA TIRSO N. 4 ; (z.d. 5)";VIA;TIRSO;4;4230;5;;;
Parrucchiere per signora;"VIA TITO LIVIO N. 33 ; (z.d. 4)";VIA;TITO LIVIO;33;4086;4;;;31
Parrucchiere per signora;"VIA TOLMEZZO num.005; (z.d. 3)";VIA;PORDENONE;13;2650;3;;2;24
Parrucchiere per signora;"VIA TOLSTOI LEONE N. 31 ; (z.d. 6)";VIA;TOLSTOI LEONE;31;5133;6;;;26
Parrucchiere per signora;"VIA TOLSTOI LEONE N. 40 ; (z.d. 6)";VIA;TOLSTOI LEONE;40;5133;6;;;40
Parrucchiere per signora;"VIA TORRE CARLO N. 45 ; (z.d. 6)";VIA;TORRE CARLO;45;5271;6;;;
Parrucchiere per signora;"VIA TORRICELLI EVANGELISTA N. 10 ; (z.d. 5)";VIA;TORRICELLI EVANGELISTA;10;5240;5;;;26
Parrucchiere per signora;"VIA TOSCOLANO N. 1 ; (z.d. 4)";VIA;TOSCOLANO;1;3362;4;;;
Parrucchiere per signora;"VIA TRAIANO MARCO ULPIO N. 11 ; (z.d. 9)";VIA;TRAIANO MARCO ULPIO;11;7157;8;;;52
Parrucchiere per signora;"VIA TRAIANO MARCO ULPIO N. 62 ; (z.d. 9)";VIA;TRAIANO MARCO ULPIO;62;7157;8;;;34
Parrucchiere per signora;"VIA TRAU' N. 2 piano terra; (z.d. 9)";VIA;TRAU';2;1154;9;;14;73
Parrucchiere per signora;"VIA TRIESTE N. 15 ; (z.d. 7)";VIA;TRIESTE;15;6261;7;;;60
Parrucchiere per signora;"VIA TRILUSSA N. 15 tras.stesso n. civico; (z.d. 8)";VIA;TRILUSSA;15;7367;8;;;32
Parrucchiere per signora;"VIA TRIVULZIO ANTONIO TOLOMEO N. 4 ; (z.d. 7)";VIA;TRIVULZIO ANTONIO TOLOMEO;4;6277;7;;;40
Parrucchiere per signora;"VIA UBERTI GIULIO N. 5 ; (z.d. 3)";VIA;UBERTI GIULIO;5;3121;3;;6;24
Parrucchiere per signora;"VIA UGONI CAMILLO N. 6 ; (z.d. 9)";VIA;UGONI CAMILLO;6;1282;9;;5;15
Parrucchiere per signora;"VIA VAL BAVONA N. 3 ; (z.d. 6)";VIA;VAL BAVONA;3;6664;6;;2;29
Parrucchiere per signora;"VIA VAL CISMON N. 4 ; (z.d. 9)";VIA;VAL CISMON;4;1666;9;;;
Parrucchiere per signora;"VIA VAL DI BONDO N. 6 ; (z.d. 9)";VIA;VAL DI BONDO;6;1648;9;;4;40
Parrucchiere per signora;"VIA VAL D'INTELVI N. 24 ; (z.d. 7)";VIA;VAL D'INTELVI;24;6752;7;;;58
Parrucchiere per signora;"VIA VAL DI SOLE N. 10 ; (z.d. 5)";VIA;VAL DI SOLE;10;4295;5;;;35
Parrucchiere per signora;"VIA VAL DI SOLE N. 22 ; (z.d. 5)";VIA;VAL DI SOLE;22;4295;5;;;85
Parrucchiere per signora;"VIA VALFURVA N. 1 ; (z.d. 9)";VIA;VALFURVA;1;1168;9;;25;32
Parrucchiere per signora;"VIA VAL GARDENA N. 25 ; (z.d. 2)";VIA;VAL GARDENA;25;2304;2;;;38
Parrucchiere per signora;"VIA VALLA LORENZO N. 25 ; (z.d. 5)";VIA;VALLA LORENZO;25;5336;5;;;26
Parrucchiere per signora;"VIA VALLA LORENZO num.02520; (z.d. 5)";VIA;VALLA LORENZO;;5336;5;;4;52
Parrucchiere per signora;"VIA VALLARSA N. 1 ; (z.d. 5)";VIA;VALLARSA;1;4142;5;;3;12
Parrucchiere per signora;"VIA VALLAZZE N. 101 ; (z.d. 3)";VIA;VALLAZZE;101;2250;3;;8;15
Parrucchiere per signora;"VIA VALLAZZE N. 86 ; (z.d. 3)";VIA;VALLAZZE;86;2250;3;;2;24
Parrucchiere per signora;"VIA VALLAZZE N. 89 ; (z.d. 3)";VIA;VALLAZZE;89;2250;3;;;20
Parrucchiere per signora;"VIA VAL LEVENTINA N. 3 ; (z.d. 7)";VIA;VAL LEVENTINA;3;6507;7;;;49
Parrucchiere per signora;VIA VAL MAIRA N. 4 (z.d. 9);VIA;VAL MAIRA;4;1098;9;;;53
Parrucchiere per signora;"VIA VAL MESOLCINA N. 2 ; (z.d. 4)";VIA;VAL MESOLCINA;2;4194;4;;9;26
Parrucchiere per signora;"VIA VALPARAISO N. 9 ; (z.d. 6)";VIA;VALPARAISO;9;6093;6;;;
Parrucchiere per signora;"VIA VALPARAISO num.007; (z.d. 6)";VIA;VALPARAISO;;6093;6;;;27
Parrucchiere per signora;"VIA VAL TROMPIA N. 15 ; (z.d. 8)";VIA;VAL TROMPIA;15;7494;8;;;19
Parrucchiere per signora;"VIA VAL TROMPIA N. 33 ; (z.d. 8)";VIA;VAL TROMPIA;33;7494;8;;;18
Parrucchiere per signora;"VIA VAL TROMPIA N. 49 ; (z.d. 8)";VIA;VAL TROMPIA;49;7494;8;;;12
Parrucchiere per signora;"VIA VANVITELLI LUIGI N. 1 ; (z.d. 3)";VIA;VANVITELLI LUIGI;1;3108;3;;70;90
Parrucchiere per signora;"VIA VANVITELLI LUIGI num.006a; (z.d. 3)";VIA;VANVITELLI LUIGI;;3108;3;;;35
Parrucchiere per signora;"VIA VARANINI LUIGI N. 12 ; (z.d. 2)";VIA;VARANINI LUIGI;12;2288;2;;;35
Parrucchiere per signora;"VIA VARANINI LUIGI N. 26 ; (z.d. 2)";VIA;VARANINI LUIGI;26;2288;2;;;46
Parrucchiere per signora;"VIA VARESE N. 1 ; (z.d. 1)";VIA;VARESE;1;1031;1;;;29
Parrucchiere per signora;"VIA VARESE N. 20 ; (z.d. 1)";VIA;VARESE;20;1031;1;;;30
Parrucchiere per signora;"VIA VENEZIANO DOMENICO N. 5 ; (z.d. 4)";VIA;VENEZIANO DOMENICO;5;4190;4;;;15
Parrucchiere per signora;"VIA VENIERO SEBASTIANO N. 16 ; (z.d. 8)";VIA;VENIERO SEBASTIANO;16;6423;8;;3;40
Parrucchiere per signora;"VIA VENINI GIULIO E CORRADO N. 1 ; (z.d. 2)";VIA;VENINI GIULIO E CORRADO;1;2258;2;;4;47
Parrucchiere per signora;"VIA VENINI GIULIO E CORRADO N. 62 ; (z.d. 2)";VIA;VENINI GIULIO E CORRADO;62;2258;2;;;37
Parrucchiere per signora;"VIA VENINI GIULIO E CORRADO N. 65 ; (z.d. 2)";VIA;VENINI GIULIO E CORRADO;65;2258;2;;12;24
Parrucchiere per signora;"VIA VENINI GIULIO E CORRADO N. 70 ; (z.d. 2)";VIA;VENINI GIULIO E CORRADO;70;2258;2;;;45
Parrucchiere per signora;"VIA VENINI GIULIO E CORRADO N. 91 ; (z.d. 2)";VIA;VENINI GIULIO E CORRADO;91;2258;2;;4;21
Parrucchiere per signora;"VIA VENOSA N. 6 ; (z.d. 4)";VIA;VENOSA;6;4097;4;;1;35
Parrucchiere per signora;"VIA VERATTI LUIGI N. 12 ; (z.d. 8)";VIA;VERATTI LUIGI;12;7374;8;;;32
Parrucchiere per signora;"VIA VERGA ANDREA N. 22 ; (z.d. 7)";VIA;VERGA ANDREA;22;6200;7;;;18
Parrucchiere per signora;"VIA VERITA' DON GIOVANNI N. 4 ; (z.d. 9)";VIA;VERITA' DON GIOVANNI;4;1469;9;;;29
Parrucchiere per signora;"VIA VERRO BERNARDINO N. 45 ; (z.d. 5)";VIA;VERRO BERNARDINO;45;4223;5;;6;18
Parrucchiere per signora;"VIA VERRO BERNARDINO N. 62 ; (z.d. 5)";VIA;VERRO BERNARDINO;62;4223;5;;;68
Parrucchiere per signora;"VIA VESPRI SICILIANI N. 13 ; (z.d. 6)";VIA;VESPRI SICILIANI;13;5137;6;;24;19
Parrucchiere per signora;"VIA VESPRI SICILIANI N. 30 ; (z.d. 6)";VIA;VESPRI SICILIANI;30;5137;6;;;41
Parrucchiere per signora;"VIA VESPRI SICILIANI num.016; (z.d. 6)";VIA;TOLSTOI LEONE;53;5133;6;;;
Parrucchiere per signora;"VIA VIGEVANO N. 45 ; (z.d. 6)";VIA;VIGEVANO;45;5116;6;;;64
Parrucchiere per signora;"VIA VIGNA N. 5 ; (z.d. 1)";VIA;VIGNA;5;636;1;;3;17
Parrucchiere per signora;"VIA VIGNATI CESARE N. 18 ; (z.d. 9)";VIA;VIGNATI CESARE;18;1515;9;;;24
Parrucchiere per signora;"VIA VIGNOLA N. 2 ; (z.d. 5)";VIA;VIGNOLA;2;4054;5;;2;20
Parrucchiere per signora;"VIA VIGNOLI TITO N. 42 ; (z.d. 6)";VIA;VIGNOLI TITO;42;5134;6;;9;42
Parrucchiere per signora;"VIA VILLORESI EUGENIO N. 28 ; (z.d. 6)";VIA;VILLORESI EUGENIO;28;5145;6;;;32
Parrucchiere per signora;"VIA VILLORESI EUGENIO N. 3 ; (z.d. 6)";VIA;VILLORESI EUGENIO;3;5145;6;;;22
Parrucchiere per signora;"VIA VIPACCO N. 6 ; (z.d. 2)";VIA;VIPACCO;6;2444;2;;4;32
Parrucchiere per signora;"VIA VISCONTI ALEX num.022b; (z.d. 8)";VIA;VISCONTI ALEX;;7529;8;;;42
Parrucchiere per signora;"VIA VISCONTI D'ARAGONA ALESSANDRO N. 17 ; (z.d. 3)";VIA;VISCONTI D'ARAGONA ALESSANDRO;17;3229;3;;4;30
Parrucchiere per signora;"VIA VISCONTI DI MODRONE UBERTO N. 4 ; (z.d. 1)";VIA;VISCONTI DI MODRONE UBERTO;4;361;1;;;
Parrucchiere per signora;"VIA VITRUVIO N. 46 ; (z.d. 2)";VIA;VITRUVIO;46;2134;2;;;27
Parrucchiere per signora;"VIA VIVAIO N. 14 ; (z.d. 1)";VIA;VIVAIO;14;3041;1;;;
Parrucchiere per signora;"VIA VODICE N. 9 ; (z.d. 7)";VIA;VODICE;9;6552;7;;2;21
Parrucchiere per signora;"VIA VOLTURNO N. 41 ; (z.d. 9)";VIA;VOLTURNO;41;1135;9;;;14
Parrucchiere per signora;"VIA VOLVINIO N. 18 ; (z.d. 5)";VIA;VOLVINIO;18;5333;5;;;34
Parrucchiere per signora;"VIA WASHINGTON GIORGIO N. 5 ; (z.d. 7)";VIA;WASHINGTON GIORGIO;5;6111;7;;3;21
Parrucchiere per signora;"VIA WASHINGTON GIORGIO N. 74 ; (z.d. 7)";VIA;WASHINGTON GIORGIO;74;6111;7;;;23
Parrucchiere per signora;"VIA WASHINGTON GIORGIO num.057a; (z.d. 7)";VIA;DOLCI CARLO;16;6555;7;;19;36
Parrucchiere per signora;"VIA ZANOLI ALESSANDRO N. 10 ; (z.d. 9)";VIA;ZANOLI ALESSANDRO;10;1548;9;;;43
Parrucchiere per signora;"VIA ZANOLI ALESSANDRO N. 30 ; (z.d. 9)";VIA;ZANOLI ALESSANDRO;30;1548;9;;8;26
Parrucchiere per signora;"VIA ZANTE N. 30 ; (z.d. 4)";VIA;ZANTE;30;3364;4;;;
Parrucchiere per signora;"VIA ZEZON ACHILLE N. 2 ; (z.d. 2)";VIA;ZEZON ACHILLE;2;1194;2;;25;16
Parrucchiere per signora;"VIA ZURETTI GIANFRANCO N. 13 ; (z.d. 2)";VIA;ZURETTI GIANFRANCO;13;1216;2;;1;37
Parrucchiere per signora;"VIA ZURETTI GIANFRANCO N. 25 ; (z.d. 2)";VIA;ZURETTI GIANFRANCO;25;1216;2;;;25
Parrucchiere per signora;"VIA ZURETTI GIANFRANCO N. 42 ; (z.d. 2)";VIA;ZURETTI GIANFRANCO;42;1216;2;;2;16
Parrucchiere per signora;"VIA ZURETTI GIANFRANCO N. 49 ; (z.d. 2)";VIA;ZURETTI GIANFRANCO;49;1216;2;;6;20
