t_es,t_via,via,civ,cod_via,zd,sup_alt,sup_lav
Parrucchiere per Donna,Via,COSTANZO CANTONI,11,1234,9,4.0,20.0
Acconciatore,Piazzale,COSTANTINO NIGRA,6,1236,9,6.0,45.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Viale,LUIGI BODIO,37,1237,9,26.5,48.5
Parrucchiere per Donna,Viale,LUIGI BODIO,6,1237,9,4.0,31.0
Parrucchiere per Uomo,Piazzale,LUGANO,22,1238,9,5.0,20.5
Tipo A - Estetica Manuale,Piazzale,LUGANO,22,1238,9,8.0,22.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Piazzale,LUGANO,4,1238,9,26.5,48.5
Parrucchiere per Uomo,Via,GIUSEPPE CANDIANI,117,1242,9,5.0,20.5
Acconciatore,Via,GIUSEPPE CANDIANI,98,1242,9,6.0,30.0
Parrucchiere per Uomo,Via,GIOVANNI BATTISTA VARE',28,1245,9,5.0,20.5
Acconciatore,Via,GIOVANNI BATTISTA VARE',30,1245,9,6.0,37.0
Parrucchiere per Donna;Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,ERCOLE RICOTTI,22,1248,9,16.5,47.0
Parrucchiere per Donna,Piazza,SCHIAVONE,10,1250,9,4.0,34.0
Parrucchiere per Donna,Piazza,SCHIAVONE,19,1250,9,4.0,34.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,LUCIANO ZUCCOLI,26,1254,2,26.5,62.0
Acconciatore,Via,ROSA MASSARA DE CAPITANI,3,1261,9,6.0,37.0
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,FRANCESCO PAOLO MICHETTI,1,1263,9,26.5,48.5
Parrucchiere per Donna,Via,GIOVITA SCALVINI,3,1265,9,4.0,28.0
Acconciatore,Via,DEGLI IMBRIANI,25,1266,9,6.0,37.0
Parrucchiere per Uomo,Via,DEGLI IMBRIANI,27,1266,9,1.0,15.0
Acconciatore,Via,DEGLI IMBRIANI,31,1266,9,6.0,20.0
Parrucchiere per Uomo;Parrucchiere per Donna,Via,DEGLI IMBRIANI,40,1266,9,6.0,30.5
Tipo A - Estetica Manuale,Via,DEGLI IMBRIANI,5,1266,9,8.0,45.0
Parrucchiere per Uomo,Via,DEGLI IMBRIANI,55A,1266,9,4.0,24.0
Parrucchiere per Donna,Via,FILIPPO BALDINUCCI,102,1267,9,4.0,31.0
Parrucchiere per Donna,Via,FILIPPO BALDINUCCI,14,1267,9,4.0,31.0
Parrucchiere per Uomo,Via,FILIPPO BALDINUCCI,6,1267,9,5.0,20.5
Parrucchiere per Uomo,Via,FILIPPO BALDINUCCI,99,1267,9,5.0,20.5
Acconciatore,Via,ANTONIO CARNEVALI,11,1268,9,6.0,37.0
Parrucchiere per Donna,Via,ANTONIO CARNEVALI,74,1268,9,4.0,31.0
Parrucchiere per Donna,Via,MARCELLO PRESTINARI,5,1269,9,4.0,35.0
Parrucchiere per Donna,Via,ANGIOLO MAFFUCCI,24,1276,9,4.0,31.0
Parrucchiere per Donna,Via,ANGIOLO MAFFUCCI,70,1276,9,4.0,16.0
Parrucchiere per Donna,Via,CAMILLO UGONI,6,1282,9,5.0,15.0
Parrucchiere per Donna,Via,BERNARDO DAVANZATI,2,1284,9,4.0,31.0
Parrucchiere per Uomo,Via,IGNAZIO CIAIA,2,1294,9,5.0,20.5
Tipo A - Estetica Manuale;Tipo B - Centro di Abbronzatura,Via,IGNAZIO CIAIA,4,1294,9,26.5,48.5
Parrucchiere per Donna,Via,LIVIGNO,18,1296,9,4.0,30.0
Acconciatore,Via,LIVIGNO,6A,1296,9,6.0,66.0
Centro Massaggi,Via,LIVIGNO,6A,1296,9,14.0,42.0
Tipo A - Estetica Manuale,Via,LIVIGNO,6A,1296,9,8.0,36.0
Acconciatore,Via,LEGNONE,19,1298,9,6.0,37.0
Parrucchiere per Donna,Via,LEGNONE,45,1298,9,2.0,31.0
Parrucchiere per Donna,Via,LEGNONE,99,1298,9,4.0,12.0
Parrucchiere per Donna,Via,MONTE SAN GENESIO,14,1299,9,4.0,31.0
Parrucchiere per Donna,Via,MONTE SAN GENESIO,20,1299,9,4.0,31.0
Parrucchiere per Donna,Via,MONTE SAN GENESIO,5,1299,9,4.0,37.0
Tipo A - Estetica Manuale,Via,GAETANO BRAGA,1,1308,2,8.0,45.0
Parrucchiere per Donna,Via,ERASMO BOSCHETTI,7,1309,2,3.0,28.0
Tipo A - Estetica Manuale,Via,ERASMO BOSCHETTI,7,1309,2,8.0,45.0
Parrucchiere per Donna,Via,ABBAZIA,6,1310,2,5.0,26.0
Parrucchiere per Donna;Parrucchiere per Uomo,Via,CARLO IMBONATI,21,1311,9,5.0,30.0
Tipo A - Estetica Manuale,Via,CARLO IMBONATI,24,1311,9,8.0,60.0
Acconciatore,Via,CARLO IMBONATI,51,1311,9,6.0,37.0
Acconciatore,Via,CARLO IMBONATI,6,1311,9,6.0,26.0
Acconciatore,Via,CARLO IMBONATI,61,1311,9,6.0,33.0
Tipo A - Estetica Manuale,Via,CARLO IMBONATI,61,1311,9,8.0,40.0
Parrucchiere per Uomo,Via,CARLO IMBONATI,75,1311,9,5.0,19.0
